"Title","Author","Publisher","Published Date","Format","Pages","Series","Volume","Language","ISBN","Page Read","Item Url","Icon Path","Photo Path","Image Url","Summary","Location","Price","Genres","Rating","Added Date","Copy Index","Read","Started Reading Date","Finished Reading Date","Favorite","Comments","Tags","BookShelf","Settings"
"[Oshi No Ko], Vol. 1 (Volume 1) ([Oshi No Ko], 1)","Akasaka, Aka; Yokoyari, Mengo; Yokoyari, Mengo; Blackman, Abigail","Yen Press","2023-01-17","Paperback","228","推しの子 [Oshi no Ko]","1","English","9781975363178","","https://www.amazon.com/dp/1975363175?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51jhRrffW5L._SL500_.jpg","""In show business, lies are a weapon.""

Gorou is an ob-gyn with a life far removed from the glitz and glamour of the entertainment industry―the world of his favorite idol, rising star Ai Hoshino. But when the two are unexpectedly brought together, their fates become intertwined in ways that defy all reason. For the good doctor, it’s time to stan(d) and deliver!","","8.59","Fantasy","4.24","07/18/2025","","","","","","","","Oshi No Ko","2.9.4;248;MM/DD/YYYY;YYYY-MM-DD;07/19/2025"
"[Oshi No Ko], Vol. 2 (Volume 2) ([Oshi No Ko], 2)","Akasaka, Aka; Yokoyari, Mengo; Neufeld, Sarah","Yen Press","2023-05-23","Paperback","194","推しの子 [Oshi no Ko]","2","English","9781975363192","","https://www.amazon.com/dp/1975363191?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51QoSmYxGwL._SL500_.jpg","""In show business, lies are a weapon.""

Ten years after the murder of pop idol Ai Hoshino, her young (and unusually mature) twins are now poised to enter high school. While her death has had a profound effect on the children, it’s manifested in polar-opposite ways. Ruby is determined to follow in her mother’s footsteps and become an idol, but Aqua has no desire to stand in the spotlight. Instead, he works behind the scenes in the entertainment industry, all while harboring an ulterior motive: discover the identity of the accomplice in his mother’s untimely death!","","10.4","Fantasy","4.23","07/18/2025","","","","","","","","Oshi No Ko"
"[Oshi No Ko], Vol. 3 (Volume 3) ([Oshi No Ko], 3)","Akasaka, Aka; Yokoyari, Mengo; Blackman, Abigail; Engel, Taylor","Yen Press","2023-08-22","Paperback","194","推しの子 [Oshi no Ko]","3","English","9781975363215","","https://www.amazon.com/dp/1975363213?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51K82bGqk3L._SL500_.jpg","""In show business. lies are a weapon.""

Hoping to glean more information about his father, Aqua agrees to join the dating reality show We’re About to Fall in Love for Real! Most of the production’s teenage-celeb cast members are in it for the exposure, but not all publicity is good publicity. When the footage can be edited for maximum drama, “reality” becomes whatever the director wants it to be―even if that means leaving someone’s reputation on the cutting room floor...","","11.11","Romance","4.34","07/18/2025","","","","","","","","Oshi No Ko"
"[Oshi No Ko], Vol. 4 ([Oshi No Ko], 4)","Akasaka, Aka; Yokoyari, Mengo; Blackman, Abigail; Engel, Taylor","Yen Press","2023-11-21","Paperback","194","推しの子 [Oshi no Ko]","4","English","9781975363239","","https://www.amazon.com/dp/197536323X?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51megbGcY-L._SL500_.jpg","""In show business. lies are a weapon.""

As filming wraps on Love for Real, Mem-cho confesses that despite her online success, she’s always dreamed of becoming an idol. How convenient―Aqua happens to know a group that’s recruiting! Now three members strong, the new B Komachi can start working on their routine…but will they get their act together in time for Japan Idol Fest?!","","10.38","Romance","4.31","07/18/2025","","","","","","","","Oshi No Ko"
"[Oshi No Ko], Vol. 5 (Volume 5) ([Oshi No Ko], 5)","Akasaka, Aka; Yokoyari, Mengo; Blackman, Abigail; Neufeld, Sarah","Yen Press","2024-02-20","Paperback","194","推しの子 [Oshi no Ko]","5","English","9781975363246","","https://www.amazon.com/dp/1975363248?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51C149rVJnL._SL500_.jpg","“In show business, lies are a weapon.”

Tensions are running high on the set of the Tokyo Blade theatrical adaptation―though not in the way anyone expected! Surprisingly, Kana and Akane are managing to keep their longstanding rivalry purely professional; in fact, the amount of talent onstage is motivating all the actors to do their very best. But there’s someone who isn’t thrilled with the direction things are headed, and she’s the one person whose opinion matters most: the original manga creator!","","10.38","Romance","4.31","07/18/2025","","","","","","","","Oshi No Ko"
"[Oshi No Ko], Vol. 6 (Volume 6) ([Oshi No Ko], 6)","Akasaka, Aka; Yokoyari, Mengo; Engel, Taylor; Blackman, Abigail","Yen Press","2024-05-21","Paperback","194","推しの子 [Oshi no Ko]","6","English","9781975363277","","https://www.amazon.com/dp/1975363272?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51RBNMhYM5L._SL500_.jpg","“The actor who’s written off as lousy—If they start doing something completely epic out of nowhere, it’s dynamite.”
As the opening day approaches, Aqua’s stage debut is marred by the trauma of his past. If he can’t draw upon his own emotions, he won’t be able to deliver the performance that the newly edited script requires. As onstage factions fracture the cast, he and Akane put in hours of extra work to ensure they don’t disappoint the audience—or lose to Kana and the top actor of Theater Lalalai!","","12.09","Manga","4.34","07/18/2025","","","","","","","","Oshi No Ko"
"[Oshi No Ko], Vol. 7 (Volume 7) ([Oshi No Ko], 7)","Akasaka, Aka; Yokoyari, Mengo; Engel, Taylor; Blackman, Abigail","Yen Press","2024-08-27","Paperback","194","推しの子 [Oshi no Ko]","7","English","9781975363291","","https://www.amazon.com/dp/1975363299?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51R8RS9RhhL._SL500_.jpg","“To me, acting is revenge.”

The stage is set for Kana and Akane to put on a performance that will prove who is the superior actor. But while Akane boldly steps into the spotlight, Kana draws back, letting her rival shine even brighter. Years in the industry have taught Kana to survive, not to strive―but that’s not the Kana-chan who Akane wants to face! With a packed house and all eyes on them, can Aqua help Kana reclaim the sparkle that made her a star?","","10.38","Manga","4.39","07/18/2025","","","","","","","","Oshi No Ko"
"[Oshi No Ko], Vol. 8 (Volume 8) ([Oshi No Ko], 8)","Akasaka, Aka; Yokoyari, Mengo; Engel, Taylor; Blackman, Abigail","Yen Press","2024-11-19","Paperback","194","推しの子 [Oshi no Ko]","8","English","9798855405590","","https://www.amazon.com/dp/B0D78JBC1F?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51nyhfbShpL._SL500_.jpg","After a major revelation, the flames of vengeance have died down in Aqua’s heart. At the same time, B Komachi is set to have their first music video (and boost their YouTube channel). Aqua is also headed to a vacation with the cast of the 2.5D play, and it's near where Aqua and Ruby died in their previous lives!","","13.0","Manga","4.41","07/18/2025","","","","","","","","Oshi No Ko"
"A Sign of Affection 1","Morishita, Suu","Kodansha Comics","2021-02-23","Paperback","192","ゆびさきと恋々 [Yubisaki to Renren]","","English","9781646511846","","https://www.amazon.com/dp/1646511840?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51PHPeDczyL._SL500_.jpg","YUKI IS A COLLEGE STUDENT WHO’S INTO FRIENDS AND FASHION. SHE’S ALSO DEAF. A CHANCE MEETING ON A TRAIN LEADS TO A SERIOUS CRUSH… BUT CAN IT GROW INTO SOMETHING MORE?

Yuki, who’s always been deaf, is used to communicating with sign language and her phone. But she’s not used to English, so when a tourist from overseas asks for directions, she nearly panics…until a handsome stranger steps in to help. His name is Itsuomi, and it turns out he’s a friend of a friend. A charismatic globetrotter, Itsuomi speaks three languages, but he’s never had a deaf friend. The two feel drawn to each other and plan a date on a romantic winter’s night…but Yuki’s friend is afraid that she might be setting herself up to get hurt. Could this be something real? Or will these feelings melt away with the snow?

A singular, touching love story from the creator of Shortcake Cake!","","10.4","Romance","4.40","07/19/2025","","","","","","","","A Sign of Affection"
"A Sign of Affection 2","Morishita, Suu","Kodansha Comics","2021-05-18","Paperback","176","ゆびさきと恋々 [Yubisaki to Renren]","","English","9781646511853","","https://www.amazon.com/dp/1646511859?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51BhCAydXbL._SL500_.jpg","YUKI'S DETERMINED TO KEEP GETTING CLOSER TO ITSUOMI, BUT SHE CAN'T HELP WONDERING... “WHY MUST THE TIME WE SPEND TOGETHER ALWAYS BE SO SHORT?” 

After struggling with her feelings for Itsuomi, Yuki’s chosen love. An intense heart-to-heart between the two, sitting against a laundromat window watching the falling snow, has begun to deepen their relationship. But there’s still much more progress to be made, and Yuki finds the world Itsuomi inhabits intimidating… How can they keep communicating when Itsuomi drops in and out of Yuki’s life?","","9.5","Action & Adventure","4.51","07/19/2025","","","","","","","","A Sign of Affection"
"A Tropical Fish Yearns for Snow, Vol. 1 (1)","Hagino, Makoto","VIZ Media LLC","2019-11-12","Paperback","192","熱帯魚は雪に焦がれる [Nettaigyo wa Yuki ni Kogareru]","1","English","9781974710430","","https://www.amazon.com/dp/1974710432?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/519Evc7krIL._SL500_.jpg","When her dad gets a job overseas, Konatsu Amano has to leave the Tokyo life she’s always known and relocate to a small seaside town to stay with her aunt. The move also means starting a new school surrounded by complete strangers, and it’s a lot to handle for a girl who has trouble with change. But on her first day in her new town, Konatsu is instantly drawn to Koyuki, an older girl who is the sole member of the Aquarium Club. Konatsu’s introverted tendencies are hard for her to overcome, but maybe she’s found something worth coming out of her shell for?

Konatsu is doing her best to adapt to her new school, but being required to join a club has introduced additional pressures. Her friendly classmate Kaede invites her to join the Home Ec Club, but Konatsu hasn’t even had time to consider which club she’s interested in. Meanwhile, Koyuki is like a ray of sunshine in Konatsu’s cloudy world. Will Konatsu join the Aquarium Club?","","9.77","Shojo","3.98","07/18/2025","","","","","","","","A Tropical Fish Yearns for Snow"
